operator_or_primitive,pixiemoves_token_form,pixiemoves_usage_count,pixie_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,key_finding
"pixie (DUAL IDENTITY — set modifier AND 2-ADD trick)",pixie segment: TOE > SAME IN [DEX],all 21 moves contain the pixie segment as their opening,operator-AND-trick,operator-modifier-AND-set-trick,pixie,1 modifier / 2 trick,fully-aligned,"USER DOCTRINAL CLARIFICATION CONFIRMED: pixie is BOTH a +1 set modifier AND a 2-ADD trick form (TOE > SAME IN [DEX] > OP TOE [DEL]). Source treats the pixie segment as the BASE FORM for 21 compound variations. Modern DB has BOTH: freestyle_tricks.pixie (2 ADD category=set notation=PIXIE) AND freestyle_trick_modifiers.pixie (+1/+1)"
"pixie segment (the structural primitive)",TOE > SAME IN [DEX],21 of 21 (universal opening),structural-primitive-segment,(implicit),(none),(none),aligned,"Every move in source begins with the same pixie segment. The segment defines pixie-as-operator: TOE set + SAME-leg in-dex. UPTIME timing distinguishes pixie from ATW (which has midtime dex)"
"uptime vs midtime dex distinction",(implicit in 'SAME IN [DEX]' immediately after TOE),21 of 21 (no midtime marker on pixie segments),timing-element,(implicit; uptime),(none),(none),aligned-by-omission,"Per user's clarification: pixie dex is UPTIME (bag still rising from set). ATW uses (midtime) marker explicitly in IFPA-side notation. Source operational form for pixie does NOT use a (midtime) marker — confirms uptime by omission"
"symposium element (no plant while)","(no plant while) [BOD]",2 of 21 (Symposium Pixie Backside Symposium Smear),no-plant-element,operator-modifier,symposium,1,aligned,"Symposium element confirmed in pixie compounds. Cross-references multi-audit symposium doctrine"
"(plant) explicit marker","(plant) AFTER first dex or AFTER set",4 of 21 (Magellan Pixie Same Side Illusion Dimwalk Parkwalk Pixie Double Over Down),support-leg-plant-marker,structural-marker,(NOT in modern ATAM grammar),0,divergent,"4 source moves use explicit (plant) marker — usually after the pixie's SAME IN [DEX] segment to indicate the support leg lands before the next dex. Cross-references paradoxMoves PD-6 + 6th cross-audit occurrence"
"in/out direction tokens",IN / OUT,40+ in 21 moves,direction-token,structural-marker,(none),0,aligned,"Universal direction-marker convention"
"OP IN/OUT alternation token",OP IN/OUT [DEX],1 of 21 (Pixie Leg Over),direction-alternation-marker,(NOT in ATAM grammar §13),0,unsettled-grammar,"2nd cross-audit occurrence (also in blurryMoves Symposium Blur). Confirms recurring source convention for in/out alternation"
"SAME/OP alternation token",SAME/OP BACK SWIRL [DEX],1 of 21 (Pixie Swirl),leg-anchor-alternation-marker,(NOT in modern ATAM grammar),0,unsettled-grammar,"Source uses SAME/OP alternation marker on the back-swirl dex. NEW pattern not seen in previous audits"
"JUMP and LAND timing markers","(JUMP) [BOD] and (LAND)",1 of 21 (Pixie Eclipse),timing-markers,(NOT in modern ATAM grammar),0,divergent,"UNIQUE TO pixieMoves source. Pixie Eclipse uses (JUMP) [BOD] and trailing (LAND) markers to indicate jump-land timing of body action. Source-only convention; modern grammar would need extension"
"SAME INSIDE [DEL] intermediate stall",SAME INSIDE [DEL],1 of 21 (Pixie Eclipse),intermediate-stall-segment,(unusual),(none),(none),divergent,"NOVEL CONSTRUCT: Pixie Eclipse uses INTERMEDIATE [DEL] (stall) marker before continuing with more dex segments. Modern ATAM grammar treats [DEL] as terminal-only. Surface as grammar question"
"OP BACK SWIRL [DEX] / SAME/OP BACK SWIRL [DEX]",compound swirl token,1 of 21 (Pixie Swirl) + cross-audit (3 paradoxMoves + 1 gyroMoves + 1 blurryMoves),compound-swirl-token,structural-marker,(NOT standard in modern ATAM),(none),unsettled-grammar,"6th cross-audit occurrence. Confirms recurring source-corpus convention"
"in/out dex direction within pixie",SAME IN / OP IN / OP OUT / SAME OUT,21 of 21,direction-token,structural-marker,(none),0,aligned,"Universal in/out direction-marker convention applied to dex segments"
"same/op leg-anchor relator",SAME / OP,21 of 21,leg-anchor-relator,structural-marker,(none),0,aligned,"Universal leg-anchor convention"
"[DEX] flag",[DEX],40+ in 21 moves,structural-flag,structural-flag,(none),0,aligned,"Universal dex-action marker"
"[BOD] flag",[BOD],3 of 21,structural-flag,structural-flag,(none),0,aligned,"Universal body-action marker"
"[XBD] cross-body flag",[XBD],11 of 21,terminal-flag,structural-flag,(none),0,aligned,"Universal cross-body terminal marker"
"[DEL] terminal delay flag",[DEL],21 of 21,terminal-flag,terminal-marker,(none),0,aligned,"Universal stall/delay terminal — present on every move"
