operator_or_primitive,blurrymoves_token_form,blurrymoves_usage_count,blurry_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,key_finding
"blurry (compact-reading prefix)","'Blurry X' as compound name",10 of 18 (Blurry Drifter Blurry Whirl Paradox Blurry Whirl Blurry Blender Blurry Symposium Whirl Blurry Torque Blurry Whirling Swirl + Blizzard Voodoo Blurrage Fog Bedwetter Food Processor folk-named blurry compounds),compound-name-prefix,operator-compound,(unpacks to stepping-paradox),(implicit +2 from stepping+paradox),aligned,"Blurry is treated as a compound-name prefix in source; 10 explicit 'Blurry X' or 'X (Blurry-compressed)' compounds. Red pt11 doctrine 'Blurry = Stepping Paradox' confirmed by 11+ source folk-name/structural-reading pairs"
"stepping (Blurry equivalence; paradoxMoves echo)","'Stepping Paradox X' parenthetical readings",11 of 18 source compounds (matches paradoxMoves count for stepping-paradox pairs),compound-operator-pair,operator-modifier,stepping,1,aligned,"Source explicitly uses 'Stepping Paradox X' as parenthetical readings for blurry compounds — Red pt11 historical-precedent confirmation"
"paradox (PDX flag)",[PDX],14 of 18,structural-side-change-flag,operator-modifier,paradox,1,aligned,"Explicit paradox flag in 14 of 18 source moves"
"paradox-encoded-without-explicit-flag",(structural),4 of 18 (Paradox Blurry Whirl Symposium Blizzard Symposium Blur Stepping Ducking Paradox Blender),structural-implicit-paradox,operator-modifier,paradox,1,partial-aligned,"4 source moves use paradox in name but operational lacks [PDX] flag. Cross-references paradoxMoves audit finding"
"symposium (no plant while)","(no plant while) / (NO PLANT WHILE)",6 of 18 (Voodoo Symposium Blizzard Symposium Blur Blurry Symposium Whirl Stepping P.S. Whirling x-body Rake; some have multiple [BOD] sequences),no-plant-element,operator-modifier,symposium,1,aligned,"Symposium operator confirmed via (no plant while) token usage. Casing inconsistency persists"
"ducking",DUCK [BOD],2 of 18 (Stepping Ducking Paradox Blender Gauntlet),body-modifier,operator-modifier,ducking,1,aligned,"DUCK [BOD] universal convention. Cross-references paradoxMoves audit"
"spinning / gyro (back-spin)",(back) SPIN [BOD] or (BACK) SPIN [BOD],4 of 18 (Food Processor Blurry Torque Gauntlet Stepping Ducking Paradox Blender),rotation-element,operator-modifier,spinning / gyro,1 / 1,partially-aligned,"Back-spin token usage. Cross-references gyro audit lead Wave 2 question about spinning/gyro axis"
"X-BODY RAKE (NEW compound token)",OP X-BODY RAKE [XBD] [DEL] [DEX],1 of 18 (Stepping P.S. Whirling x-body Rake),compound-element-with-rake,(rake atom — Sprint 6 2026-05-19),(implicit; rake = 2 ADD per Sprint 6 doctrine),NEW-cross-reference,"FIRST 2003-era 'rake' appearance in reconciliation corpus. Source treats it as a single compound element with cross-body terminal. Direct historical-precedent for the user's Sprint 6 rake = swing > toe doctrine"
"IN/OUT alternation token",OP IN/OUT [DEX],1 of 18 (Symposium Blur),direction-alternation-marker,(NOT in ATAM grammar §13),0,unsettled-grammar,"FIRST appearance of in/out alternation token in operational notation in any source. Source uses 'IN/OUT' to indicate either direction is valid for the dex segment. Modern grammar typically resolves to one direction"
"in/out dex direction tokens",IN / OUT,30+ of 18 moves,direction-token,structural-marker,(none),0,aligned,"Universal direction-marker convention"
"same/op leg-anchor relator",SAME / OP,30+ in 18 moves,leg-anchor-relator,structural-marker,(none),0,aligned,"Universal leg-anchor convention"
"[DEX] flag",[DEX],30+ in 18 moves,structural-flag,structural-flag,(none),0,aligned,"Universal dex-action marker"
"[BOD] flag",[BOD],14+ in 18 moves,structural-flag,structural-flag,(none),0,aligned,"Universal body-action marker"
"[XBD] cross-body flag",[XBD],11 of 18,terminal-flag,structural-flag,(none),0,aligned,"Universal cross-body terminal marker"
"[DEL] terminal delay flag",[DEL],18 of 18,terminal-flag,terminal-marker,(none),0,aligned,"Universal stall/delay terminal — present on every move"
"P.S. abbreviation","P.S." as compound name segment,1 of 18 (Stepping P.S. Whirling x-body Rake),naming-abbreviation,naming-convention,(NOT canonical alias),0,naming-precedent,"'P.S.' = Paradox Symposium per source convention. Consistent with paradoxMoves's 'PS Whirl' compact-reading abbreviation"
