operator_token,observed_count,curator_status,decomposition_clarity,provenance_quality,red_dependency,pedagogical_risk,community_drift_risk,parser_artifact_risk,recommended_disposition,rationale
sailing,7,pending_red,clear,FM Sets-tab + extract,low (additive math from Pixie + Atomic),low,low,none,advance-to-evaluation,"FM Sets def: Pixie Atomic. Decomposition is stable, recursive depth 1, no FM polysemy. Lowest-friction Q4 candidate. ADD weight needs single Red question."
slaying,1,pending_red,clear,FM Sets-tab,medium (depends on Sailing),low,low,none,defer-pending-sailing,"= Symp Sailing = Symp Pixie Atomic. Cleanly decomposable but depends on Sailing being accepted first. Singleton observation."
frantic,2,pending_red,clear,FM Sets-tab,low,low,low,none,advance-to-evaluation,"= Pixie Quantum per FM Sets. Two-modifier composition; clean."
phasing,3,pending_red,clear (recursive),FM Sets-tab,high (depends on Fairy resolution),low,medium,none,defer-pending-fairy,"= Fairy ss Spinning. Cannot advance until Fairy Q4 is decided."
leaning,3,pending_red,clear,FM Sets-tab,low,low,low,none,advance-to-evaluation,"= Stepping Inspinning. Clean compositional with one direction marker."
hyper,0,pending_red,clear (pre-state),FM Sets-tab,low (pt8: rooted=0),low,low,none,advance-to-evaluation,"= Rooted Pixie. References pt8-ruled rooted=0 plus locked Pixie. Mechanically simple."
pogo,2,pending_red,clear (temporal),FM Sets-tab,low (temporals=0 by analogy),low,medium,none,advance-with-caveat,"= Uptime ATW. References temporal + ATW base. Uptime ADD weight is by-analogy, not formal."
quasi,1,pending_red,clear,FM Sets-tab,medium (depends on far weight),low,low,none,defer-pending-far,"= Clipper far Miraging. References unadjudicated 'far' weight."
slicing,2,pending_red,polysemous,FM Sets-tab (TWO defs),N/A,high (two meanings),high,FM curation issue,reject-pending-fm-disambiguation,"FM Sets shows two compositions: Gyro Rev. Swirling OR Blurry Quasi. Not classify-able until FM resolves."
riffing,0,pending_red,clear,FM Sets-tab,high (cascades to Blurry pt12),low,low,none,defer-pending-pt12,"= Symp Blurriest. Blurriest depends on Blurry which has pt12 open math conflicts."
fairy,29,q4_blocked,unclear,FM-only,N/A (Q4 batch),high,high,none,defer-to-q4-batch,"High recurrence (29 rows in FM, 5 PB) is NOT a promotion signal. FM-vocab; no IFPA add_bonus; descriptive sense undocumented. Frequency reflects FM author's preference, not community consensus."
gyro,28,q4_blocked,partial,FM Sets-tab + alt,medium (Sets alt: Spinning ss),medium,high,none,evaluate-as-spinning-ss-alias,"Sets tab indicates Gyro = Spinning ss alt. If accepted, Gyro is an alias for an existing locked composition (Spinning + ss=+0), not a new operator. No new add_bonus needed."
barraging,19,q4_blocked,unclear,FM-only,N/A,medium,high (FM-specific),none,defer-to-q4-batch,"Despite high count, no IFPA add_bonus row and no decomposition. Acceptance would create a new modifier class."
railing,11,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab. Like barraging: count is high but evidence is one-source."
surging,11,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab."
dragon,8,q4_blocked,polysemous,FM-only,N/A,high (dual role),medium,none,reject-as-modifier,"Appears as both modifier (Miraging Dragon → Dragster) and surface (Dragon set → Flipwalk). Surface usage is sui generis; modifier usage is rare. Surface role might warrant glossary entry; modifier role does not warrant NF-2A entry."
flailing,8,q4_blocked,clear (extract def),FM extract,medium (Symposium Atomic decomposition),medium,medium,none,evaluate-as-symposium-atomic-alias,"FM extract: Flailing = Symposium Atomic. If accepted, alias for an existing two-modifier composition; no new operator class needed."
spyro,8,q4_blocked,unclear,FM-only,N/A,high,high (single-source),none,defer-to-q4-batch,"FM-vocab. 'Alex Zerbe is the greatest' = 'Spyro Symple Drifter' suggests Spyro is heavily author-attached; community-drift risk is high."
furious,6,q4_blocked,partial,pt6 ruling + FM,blocked (pt6 conflict),medium,low,none,defer-pending-fury-reconciliation,"pt6 ruled Fury=furious+paradox+mirage=5; FM reads Fury as 'Furious Mirage' single-modifier. Furious cannot become NF-2A entry until pt6 vs FM is reconciled."
neutron,5,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab. Appears as both modifier and operand; semantics undocumented."
blazing,4,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab."
bubba,4,q4_blocked,unclear,FM-only,N/A,high (clearly community-specific),high,none,reject-pending-evidence,"Patronymic-style naming (named after a person). Bubba Beater is the load-bearing example. Unlikely to scale as a canonical modifier."
terraging,3,q4_blocked,partial,FM-only,blocked (pt12 math conflict),medium,medium,none,defer-pending-pt12,"pt12 queue: Terrage ADD off-by-one. Cannot advance until pt12 math resolves."
inspinning,3,pending_red,clear (directional),FM Sets-tab,low,low,low,none,advance-to-evaluation,"FM Sets def: Front Spin. Direction marker contrasting with Spinning = Back Spin. ADD weight by analogy to Spinning (+1)."
smiling,1,q4_blocked,clear (recursive),FM Sets-tab,medium (depends on Swirling),low,low,none,defer-pending-swirling-resolution,"= Swirling ss Stepping. Singleton observation."
splicing,1,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab. Singleton."
surfing,1,q4_blocked,unclear,FM-only,N/A,medium,high,none,defer-to-q4-batch,"FM-vocab. Singleton."
twinspinning,1,q4_blocked,partial,FM-only,N/A,low,low,none,defer-to-q4-batch,"Likely 'twin-spin' variant. Singleton; semantics inferable but not adjudicated."
jolimont,1,q4_blocked,unclear,FM-only,N/A,high,high,none,defer-or-reject,"Singleton; toponym-style naming. Unlikely canonical."
