source_id,source_name,source_type,url,creator
anz_trikz,Anz' Trikz,youtube,,
everything_footbag,Everything Footbag Channel,youtube,,
footbag_foundations,Footbag Foundations,website,http://footbagfoundations.erikchan.ca/,Erik Chan
footbagspot_passback,PassBack Freestyle Tutorials,website,https://footbagspot.com/tutorials/passback,
footbagspot_tutorials,Footbag Spot Tutorials,website,https://footbagspot.com/tutorials,
passback_records,PassBack Freestyle Records,database,,Various
polini_pointers,Polini's Pointers,youtube,,
shred_global,Shred Global,youtube,,
tt1,Tricks of the Trade 1,dvd,https://worldfootbag.com/product/tt1-tricks-of-the-trade-dvd-for-hacky-sack-footbag/,Kenny Shults
tt2,Tricks of the Trade 2,dvd,https://worldfootbag.com/product/tt2-tricks-of-the-trade-2-video/,Kenny Shults + 14 players
